id,type,typeName,commodityCode,commodityNameTH,unitName,curMonth,curYear,priceCur,priceVAT,createdAt
4890486,14,พระนครศรีอยุธยา,0101010100100000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 180 กก./ตร.ซม. และ รูปทรงกระบอก 140กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,11,2566,2090.0,,2025-01-27T04:03:34.129043Z
4894871,14,พระนครศรีอยุธยา,0101010100200000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 210 กก./ตร.ซม. และ รูปทรงกระบอก 180 กก./ตร.ซม.   ตราซีแพค,ลบ.ม.,11,2566,2130.0,,2025-01-27T04:03:34.129043Z
4894066,14,พระนครศรีอยุธยา,0101010100300000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 240 กก./ตร.ซม. และรูปทรงกระบอก 210 กก./ตร.ซม.   ตราซีแพค,ลบ.ม.,11,2566,2170.0,,2025-01-27T04:03:34.129043Z
4892609,14,พระนครศรีอยุธยา,0101010100400000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 280 กก./ตร.ซม. และ รูปทรงกระบอก 240 กก./ตร.ซม.   ตราซีเแพค,ลบ.ม.,11,2566,2210.0,,2025-01-27T04:03:34.129043Z
4895015,14,พระนครศรีอยุธยา,0101010100500000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 320 กก./ตร.ซม. และ รูปทรงกระบอก 280 กก./ตร.ซม.   ตราซีแพค,ลบ.ม.,11,2566,2290.0,,2025-01-27T04:03:34.129043Z
4891649,14,พระนครศรีอยุธยา,0101010100600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และ รูปทรงกระบอก 300 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,11,2566,2340.0,,2025-01-27T04:03:34.129043Z
4890638,14,พระนครศรีอยุธยา,0101010100700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และ รูปทรงกระบอก 320 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,11,2566,2400.0,,2025-01-27T04:03:34.129043Z
4891841,14,พระนครศรีอยุธยา,0101010100800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และ รูปทรงกระบอก 350 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,11,2566,2470.0,,2025-01-27T04:03:34.129043Z
4894456,14,พระนครศรีอยุธยา,0101010103000000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 180 กก./ตร.ซม. และรูปทรงกระบอก  140 กก./ตร.ซม.  มีส่วนผสมของปูนซีเมนต์ TPI,ลบ.ม.,11,2566,1738.32,,2025-01-27T04:03:34.129043Z
4894619,14,พระนครศรีอยุธยา,0101010103100000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 210 กก./ตร.ซม. และรูปทรงกระบอก  180 กก./ตร.ซม.  มีส่วนผสมของปูนซีเมนต์ TPI,ลบ.ม.,11,2566,1822.43,,2025-01-27T04:03:34.129043Z
4891994,14,พระนครศรีอยุธยา,0101010103200000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 240 กก./ตร.ซม. และรูปทรงกระบอก  210 กก./ตร.ซม.  มีส่วนผสมของปูนซีเมนต์ TPI,ลบ.ม.,11,2566,1869.16,,2025-01-27T04:03:34.129043Z
4891018,14,พระนครศรีอยุธยา,0101010103300000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 280 กก./ตร.ซม. และรูปทรงกระบอก  240 กก./ตร.ซม.  มีส่วนผสมของปูนซีเมนต์ TPI,ลบ.ม.,11,2566,1915.89,,2025-01-27T04:03:34.129043Z
4890757,14,พระนครศรีอยุธยา,0101010103400000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 320 กก./ตร.ซม. และรูปทรงกระบอก  280 กก./ตร.ซม.  มีส่วนผสมของปูนซีเมนต์ TPI,ลบ.ม.,11,2566,2000.0,,2025-01-27T04:03:34.129043Z
4892787,14,พระนครศรีอยุธยา,0101010103500000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 350 กก./ตร.ซม. และรูปทรงกระบอก  300 กก./ตร.ซม.  มีส่วนผสมของปูนซีเมนต์ TPI,ลบ.ม.,11,2566,2065.42,,2025-01-27T04:03:34.129043Z
4895815,14,พระนครศรีอยุธยา,0101010103600000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 380 กก./ตร.ซม. และรูปทรงกระบอก  320 กก./ตร.ซม.  มีส่วนผสมของปูนซีเมนต์ TPI,ลบ.ม.,11,2566,2130.84,,2025-01-27T04:03:34.129043Z
4895226,14,พระนครศรีอยุธยา,0101010103700000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 400 กก./ตร.ซม. และรูปทรงกระบอก  350 กก./ตร.ซม.  มีส่วนผสมของปูนซีเมนต์ TPI,ลบ.ม.,11,2566,2196.26,,2025-01-27T04:03:34.129043Z
4895941,14,พระนครศรีอยุธยา,0101010103800000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 280 กก./ตร.ซม.  และรูปทรงกระบอก  240 กก./ตร.ซม.  ตรา.................,ลบ.ม.,11,2566,1859.81,,2025-01-27T04:03:34.129043Z
4890907,14,พระนครศรีอยุธยา,0101010107200000,คอนกรีตผสมเสร็จรูปลูกบาศก์ 300 กก./ตร.ซม. และรูปทรงกระบอก 250 กก./ตร.ซม.  ตราซีแพค,ลบ.ม.,11,2566,2250.0,,2025-01-27T04:03:34.129043Z
4839649,14,พระนครศรีอยุธยา,0201010100100000,คอนกรีตบล็อกก่อผนัง  ชนิดธรรมดา  ขนาด   19 x 39 x 7 ซม.,ก้อน,11,2566,4.21,,2025-01-27T04:03:34.129043Z
4856609,14,พระนครศรีอยุธยา,0205010100100000,อิฐมอญ     ขนาด 7x 16 x 3.5 ซม.,ก้อน,11,2566,1.58,,2025-01-27T04:03:34.129043Z
4905293,14,พระนครศรีอยุธยา,0305010100300000,"เสารั้วคอนกรีตเสริมเหล็ก  แบบสี่เหลี่ยม   ขนาด  4"" x 4""  ยาว 2.50 ม.",ท่อน,11,2566,420.56,,2025-01-27T04:03:34.129043Z
4869837,14,พระนครศรีอยุธยา,0401010100700000,เหล็กเส้นกลมผิวเรียบ   SR.24   ยาว 10 เมตร   ศก.   6  มม. ตรา บลส.,ตัน,11,2566,27002.36,,2025-01-27T04:03:34.129043Z
4862551,14,พระนครศรีอยุธยา,0401010100800000,เหล็กเส้นกลมผิวเรียบ   SR.24   ยาว 10 เมตร   ศก.   9  มม. ตรา บลส.,ตัน,11,2566,26972.26,,2025-01-27T04:03:34.129043Z
4862707,14,พระนครศรีอยุธยา,0401010100900000,เหล็กเส้นกลมผิวเรียบ   SR.24   ยาว 10 เมตร   ศก. 12  มม. ตรา บลส.,ตัน,11,2566,27439.72,,2025-01-27T04:03:34.129043Z
4866558,14,พระนครศรีอยุธยา,0401010101000000,เหล็กเส้นกลมผิวเรียบ   SR.24   ยาว 10 เมตร   ศก. 15  มม. ตรา บลส.,ตัน,11,2566,28660.15,,2025-01-27T04:03:34.129043Z
4867652,14,พระนครศรีอยุธยา,0401020200900000,เหล็กเส้นกลมผิวข้ออ้อย  SD.40   ยาว  10 เมตร  ศก. 12  มม. ตรา บลส.,ตัน,11,2566,25775.98,,2025-01-27T04:03:34.129043Z
4863866,14,พระนครศรีอยุธยา,0401020201000000,เหล็กเส้นกลมผิวข้ออ้อย  SD.40   ยาว  10 เมตร  ศก. 16  มม. ตรา บลส.,ตัน,11,2566,27009.63,,2025-01-27T04:03:34.129043Z
